Kode,KodeSupplier,Nama,Harga,Satuan,Barcode
1000                ,00004     ,MR SABUN MUTIARA 85 GR,13406.25,PCS  ,8995151110291       
1003                ,00040     ,SOKLIN SMART WHITE 800,17250.00,DOS  ,8998866605809       
1004                ,00031     ,NIVEA FAC SCRUB 100 GR,14113.75,PCS  ,8999777811242       
1005                ,00031     ,NIVEA GENTLE FAC.WASH 100,15682.50,PCS  ,8999777811112       
1006                ,00131     ,NIVEA GENTLE FCL SCRUB 40,6118.75,PCS  ,8999777811495       
101                 ,00019     ,DELFI BRIKO VAN 125 GR,6270.00,PCS  ,8991001780218       
102                 ,00019     ,SELAMAT WFR CHOCO 198,6270.00,PCS  ,8991001780492       
1026                ,00040     ,NUVO REFF KUNING/GOLD 250,7115.00,PCS  ,8998866602990       
1027                ,00040     ,NUVO REFF HIJAU 250,7187.50,PCS  ,8998866602983       
1028                ,00040     ,NUVO FAMILY MERAH   80G,1281.25,PCS  ,8998866602556       
1029                ,00040     ,NUVO FAMILY BIRU   80GR,1393.75,PCS  ,8998866602549       
1030                ,00040     ,NUVO FAMILY KNG 80GR,1393.75,PCS  ,8998866602570       
1031                ,00040     ,NUVO FAMILY HIJAU  80GR,1281.25,PCS  ,8998866602563       
1032                ,00040     ,SOKLIN SMART COLOUR SASET,2971.25,PCS  ,8999999392963       
1034                ,00040     ,NUVO REFF MERAH 250ML,7187.50,PCS  ,8998866602976       
1035                ,00040     ,NUVO REFF PUTIH 250,7115.00,PCS  ,8998866602969       
1037                ,00040     ,BOOM JERUK NIPIS 1 KG,5625.00,PCS  ,8999999390525       
1038                ,00040     ,NUVO FAMILY COOL,1393.75,PCS  ,8998866606158       
104                 ,00112     ,SEPATU GHEST 0901,10875.00,PCS  ,104                 
1041                ,A110      ,ROMA SARI GANDUM ROLL 149,3951.25,DOS  ,8996001302248       
1042                ,00167     ,IMPERIAL BW ERIG  250,11825.00,PCS  ,8999999390549       
1046                ,00174     ,DAHLIA REF CF ALL VAR K-241,10057.50,PCS  ,8886012824139       
1051                ,A0015     ,MUKENA AL MADINAH TERUSAN,6460.00,PCS  ,                    
1056                ,00172     ,HIT AER EXPERT BLOOM TEA 225,1082.50,PCS  ,8992745705604       
1057                ,00112     ,SEPATU KITANO KN,1662.50,PCS  ,1057                
1059                ,00002     ,SERENA EGG ROLL CHOCO55,9013.75,PCS  ,8888166994232       
1060                ,00040     ,FRES SB ORANGE 80,1300.00,PCS  ,8998866800204       
108                 ,00054     ,MR.P KCG MADU R.25,1098.75,PACK ,8992709818258       
1080                ,00051     ,SHINZU`I HANA 90,2763.75,PCS  ,8992946512223       
1081                ,00051     ,SHINZU`I KIREI 90,2763.75,PCS  ,8992946512285       
109                 ,00054     ,MR.P KCG BALADO R. 20,1098.75,PACK ,8992709838256       
110                 ,00002     ,MONA KOPYOR,4562.50,DOS  ,8888166991002       
1100                ,00174     ,SEAGULL NAPTH 25 G/ SG-519/P,1150.00,PACK ,8886012895207       
1102                ,A0110     ,CUSSONS B LOT FRESH&NOUR 200,1087.50,PCS  ,8998103014340       
1104                ,00040     ,SOKLIN MATIC FRONT LOAD 1KG,20000.00,DOS  ,8998866602082       
1105                ,00040     ,SOKLIN PRO/ POWER 900,15625.00,DOS  ,8998866602600       
1106                ,00040     ,SOKLIN HIGINIS 900,15625.00,DOS  ,8998866600439       
1107                ,00040     ,SOKLIN MATIC FRONT LOAD 2KG,39750.00,DOS  ,8998866602099       
1108                ,00040     ,SOKLIN PRO 320 GR,4487.50,PCS  ,8998866602594       
1109                ,00040     ,SOKLIN HIGINIS 380,4487.50,PCS  ,8998866600491       
111                 ,00019     ,DELFI TWISTER M CKT 80,3891.25,PCS  ,8991001780232       
1110                ,00040     ,SOKLIN HIGIENIS 6X29,2260.00,PCS  ,8998866604659       
1111                ,A0111     ,TELUR AYAM NEGERI ISI 10,2260.00,PCS  ,1111                
1112                ,00172     ,POLYTEX SABUT SPON EXT,2385.00,PCS  ,8992742360264       
1114                ,00040     ,SOKLIN SOFTERGENT PINK 800,15625.00,DOS  ,8998866607315       
1116                ,00040     ,SOKLIN POWER 60 GR,1031.25,PCS  ,1116                
112                 ,00019     ,BISA KHUSUS,2137.50,DOS  ,112                 
1120                ,00040     ,SOKLIN SMART COLOUR 800,18000.00,DOS  ,8998866605816       
1121                ,00040     ,SOKLIN SMART CLEAN SASET,2971.25,PCS  ,8998866602822       
113                 ,00019     ,CERES HGL CLASSIC 90,5747.50,PACK ,8991001301017       
114                 ,00019     ,CERES HGL FESTIVE 90,3327.50,PACK ,8991001301024       
